,Compound,Phase,Band gap (eV),HSE-gap (eV),VBM absolute (eV),CBM absolute (eV),HSE vacuum level (eV),HSE VBM absolute (eV),HSE CBM absolute (eV)
0,N,N_1,3.88086486486,0.0,,,,,
1,N,N_2,0.0,0.0,,,,,
2,P,P_0,0.902201834862,1.7368235294099998,-5.0433315383399995,-4.132927868618,3.30433284764,-5.5677446123499985,-3.8309210829339997
3,P,P_1,1.9331746031700001,2.98188,-6.17325173158,-4.22990252524,2.3494609801400004,-6.872900980139999,-3.89102098014
4,As,As_0,0.8068333333329999,1.5525,-4.6458338583,-3.8311671916400005,2.55658398431,-5.12983398431,-3.57733398431
5,As,As_1,1.6033764705899998,2.424,-5.38470780972,-3.7719548685400004,1.84141547754,-5.902415477540001,-3.47841547754
6,As,As_2,0.0,0.0,-4.02937341902,-4.02937341902,3.3642175006099997,-4.20044005061,-4.20044005061
7,Sb,Sb_0,0.1625,0.447,-3.79032200496,-3.62132200496,3.1484220017799998,-4.028922001780001,-3.58192200178
8,Sb,Sb_1,1.25917647059,1.8413684210499999,-4.85249968119,-3.58514674001,2.41509188605,-5.262776096580001,-3.42140767552
9,Bis,Bis_0,0.0,0.0,-3.59416481558,-3.59416481558,2.8372469051099998,-3.65856813511,-3.65856813511
10,Bis,Bis_1,0.0,0.0,-3.8159142947,-3.8159142947,2.5676845515799998,-3.9096708315800006,-3.9096708315800006
11,BF,BF_0,3.13638709677,4.63355555556,-5.4078325617599985,-2.25705836822,4.099524917109999,-6.238302694890001,-1.60474713933
12,BF,BF_1,0.184363636364,1.46666666667,-6.0022785353299986,-5.8025512626100015,2.3180366597999997,-6.8113699931300005,-5.3447033264699995
13,BF,BF_2,0.0,0.0,-6.0514760889699994,-6.0514760889699994,6.08549660554,-6.535355385540002,-6.535355385540002
14,BCl,BCl_0,0.0,0.6375,-5.397139732289999,-5.397139732289999,2.49952889324,-5.83377889324,-5.1962788932400015
15,BCl,BCl_1,0.456,1.73254545455,-4.73233011429,-4.26433011429,2.9854334574199997,-5.49670618469,-3.764160730147
16,BCl,BCl_2,0.0,0.0,-1.7969790095400002,-1.7969790095400002,3.04842983296,-2.03096611296,-2.03096611296
17,BBr,BBr_0,1.49564534884,2.80333333333,-5.18440870915,-3.68011801147,1.5887663728,-5.82043303947,-3.01709970613
18,BBr,BBr_1,2.30155760369,3.4296428571399997,-6.51884976997,-4.20673456259,1.8971227951400003,-7.126444223709999,-3.6968013665699995
19,BBr,BBr_2,0.0,0.0,-3.92681073094,-3.92681073094,2.70079813511,-4.03170096511,-4.03170096511
20,BI,BI_0,0.442767857143,0.87375,-3.700654240023,-3.2501185257371,3.2116999225,-3.8760749225,-3.0023249225
21,BI,BI_1,1.77639893617,2.73672,-5.991478535490001,-4.20568066315,2.23181009903,-6.5091700990299985,-3.77245009903
22,BI,BI_2,0.280583333333,0.6920000000000001,-3.7200155407932995,-3.431848874127,3.75281008676,-3.92631008676,-3.23431008676
23,AlF,AlF_0,0.8001230769230001,1.75145454545,-3.5401592003231,-2.727913046477,3.5607008046099997,-4.1394280773370005,-2.3879735318799997
24,AlF,AlF_1,0.0,0.0,,,,,
25,AlF,AlF_2,0.0,0.0,-4.62115616997,-4.62115616997,6.1151368024199995,-4.7660274224200005,-4.7660274224200005
26,AlCl,AlCl_0,1.40154601227,2.0724,-4.92767160278,-3.5175795782400003,2.28219030665,-5.34039030665,-3.2679903066500002
27,AlCl,AlCl_1,0.6584516129029999,1.3656,-4.9907035885600015,-4.32180036276,2.08913518722,-5.4799351872200015,-4.114335187219999
28,AlCl,AlCl_2,2.34930141844,3.31305882353,-5.417544930169999,-3.0599420932903003,2.9992488820700003,-6.02127829383,-2.708219470305
29,AlBr,AlBr_0,1.8290933333300001,2.66892857143,-5.215192984730001,-3.37800631807,2.12258003007,-5.729544315780001,-3.060615744356
30,AlBr,AlBr_1,1.54490322581,2.24036842105,-5.482597444419999,-3.9277909928,1.82225029623,-6.05193450676,-3.8115660857
31,AlBr,AlBr_2,1.8890384615400002,2.73120689655,-4.98788996744,-3.090813044362,2.56389441512,-5.469997863400001,-2.7387909668440003
32,AlI,AlI_0,1.50918660287,2.2163076923099996,-4.52792966699,-3.011556461249,2.46911224768,-4.93026609383,-2.713958401526
33,AlI,AlI_1,2.2757528957499997,3.08603225806,-5.6464946349,-3.3619888434,1.9577982881799998,-6.22431441721,-3.13828215915
34,AlI,AlI_2,1.52318483412,2.22707692308,-4.5395002933300015,-3.009130625087,2.86959250638,-4.93213096792,-2.705054044842
35,GaF,GaF_0,2.7246939655199998,3.7420740740699996,-5.27413965554,-2.537751724503,2.1102605639200003,-5.945297600959999,-2.2032235268830003
36,GaF,GaF_1,1.8669724770599998,2.76576923077,,,,,
37,GaF,GaF_2,1.7139020979,2.7277894736799997,-6.494035779830001,-4.7682315840300005,2.4456347046099998,-7.166529441450001,-4.438739967769999
38,GaCl,GaCl_0,2.9600876712299997,3.97257142857,-5.522074508639999,-2.553899166177,1.72979750775,-6.16208322204,-2.1895117934640003
39,GaCl,GaCl_1,3.01990131579,3.8954117647099995,-6.82748548026,-3.7976828486800005,1.76769280653,-7.4878986888800005,-3.5924869241800006
40,GaCl,GaCl_2,2.98716164384,3.9736190476199997,-5.5301112883400005,-2.534788000664,2.0277608124400004,-6.1570703362499986,-2.18345128863
41,GaBr,GaBr_0,2.52594321767,3.432,-5.289001993179999,-2.7551155578400004,1.6364252420299998,-5.850425242030001,-2.4184252420299996
42,GaBr,GaBr_2,2.5339433962299998,3.38727777778,-5.29322039341,-2.7513336009539997,1.91420991965,-5.8043488085399995,-2.417071030761
43,GaI,GaI_0,2.19211726384,2.8747058823500002,-5.04925416575,-2.8500196380659997,2.0548367827200003,-5.4816897239,-2.606983841544
44,GaI,GaI_1,2.73847826087,3.54689189189,-5.93579803516,-3.18884151342,1.8165033499599998,-6.50744929591,-2.96055740401
45,GaI,GaI_2,2.2441242038199998,3.00516666667,-5.07207509615,-2.820826688508,2.37240303998,-5.5514863733099995,-2.546319706647
46,InF,InF_0,2.20022346369,2.69444444444,,,,,
47,InF,InF_1,0.9477966101690001,1.5737142857100002,,,,,
48,InF,InF_2,1.477453125,2.2725,-5.938933799939999,-4.450027549940001,3.47966324148,-6.37791324148,-4.10541324148
49,InCl,InCl_0,2.74497959184,3.66371794872,-5.20905244188,-2.456093258203,1.97509784442,-5.805456818780001,-2.141738870061
50,InCl,InCl_1,2.65250719424,3.43412903226,-6.5952557380900005,-3.93324134961,2.0292020767200003,-7.19926659285,-3.76513756059
51,InCl,InCl_2,2.7790086705199997,3.66371794872,-5.2127731826,-2.42575584156,2.3190863187099997,-5.802445293070001,-2.138727344351
52,InBr,InBr_0,2.37378289474,3.1767142857099997,-5.0303905897400005,-2.648824800263,1.8166491740700002,-5.513506316930001,-2.336792031213
53,InBr,InBr_1,2.7652483221499997,3.6127058823500002,-6.43601544959,-3.6615188052900005,1.9047773174,-7.067130258580001,-3.45442437622
54,InBr,InBr_2,2.4038300653599998,3.1767142857099997,-5.0253990241,-2.613738893381,2.1211347968200003,-5.509991939680001,-2.333277653963
55,InI,InI_0,2.1329934210499997,2.8585142857099997,-4.8668496263400005,-2.726862784237,2.10637844658,-5.31263558944,-2.454121303723
56,InI,InI_1,2.3165211726400003,3.17059459459,-4.918867571248001,-2.594825225968,0.652373731771,-5.432671029071,-2.262076434471
57,InI,InI_2,2.14601311475,2.8048235294099997,-4.88215749809,-2.7291312685860003,2.43283194227,-5.27874370698,-2.4739201775641
58,CO,CO_0,1.2904421052600001,3.60218181818,-7.210893001,-5.90700879048,3.5441770691000003,-8.44226797819,-4.840086160009999
59,CO,CO_1,0.578666666667,2.47866666667,,,,,
60,CO,CO_2,1.01282051282,0.0,,,,,
61,CS,CS_0,1.1334953271,2.093625,-4.87349996083,-3.7295093066272,3.80301036265,-5.47332286265,-3.37969786265
62,CS,CS_1,1.38155963303,2.57505882353,-6.979125570589999,-5.58500630453,3.3773213618799995,-7.78985077364,-5.2147919501199995
63,CS,CS_2,0.0,0.0,-3.8194215152800006,-3.8194215152800006,5.48340012473,-4.05118825473,-4.05118825473
64,CSe,CSe_0,0.873707865169,1.7291428571400003,-4.7411537309,-3.857738000561,3.2079462582700002,-5.350017686839999,-3.6208748296990003
65,CSe,CSe_1,1.53848120301,2.59626315789,-6.7610335610700005,-5.21107115505,2.88915369853,-7.5227852774800015,-4.92652211958
66,CSe,CSe_2,0.0,0.0,-3.5592476218500004,-3.5592476218500004,4.13440467191,-3.68567624191,-3.68567624191
67,CTe,CTe_0,0.5565625,1.146,-3.8168215740199996,-3.2516965740200003,3.91579256085,-4.15129256085,-3.0052925608499996
68,CTe,CTe_1,1.2862903225799998,2.10005882353,-6.38441381957,-5.08783317441,3.18784419622,-6.96437360798,-4.864314784459999
