,Phase,Compound,Band gap (eV),VBM (eV),CBM (eV),HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),Vacuum level (eV),VBM Absolute (eV),CBM Absolute (eV),HSE vacuum level (eV),HSE-VBM Absolute (eV),HSE-CBM Absolute (eV),Cation,Anion_1,Anion_2,Phase_index,Cation_negativity,Anion_1_negativity,Anion_2_negativity,Cation_mass,Anion_1_mass,Anion_2_mass,Cation_atomic_radius,Anion_1_atomic_radius,Anion_2_atomic_radius,a1 (A),a2 (A),a3 (A),alpha,beta,gamma,Cohesive energy (eV/atom)
0,BOF_0,BOF,8.698137637030001,-7.00755596107,1.6905559610699998,11.0574782609,-8.70251428571,2.3505142857099997,3.31501671155,-10.32257267262,-1.6244607504800004,3.32725154677,-12.02976583248,-0.9767372610600003,B,O,F,0,2.0,3.5,4.0,10.811,15.9994,18.9984,87.0,48.0,42.0,2.50625842855,3.89801643498,16.1689264757,89.1844483739,89.962090963,89.9847944568,-7.02327133333
1,BOCl_0,BOCl,2.48245692884,-2.0281940298500003,0.454194029851,4.03607142857,-2.98189655172,1.04489655172,3.28432843335,-5.3125224632000005,-2.8301344034989997,3.27993469589,-6.26183124761,-2.2350381441700002,B,O,Cl,0,2.0,3.5,3.0,10.811,15.9994,35.4527,87.0,48.0,79.0,2.75976022997,3.8680320834099997,20.3303174527,89.6437948007,89.97672391209998,89.98454786110001,-5.92851116667
2,BOCl_1,BOCl,1.4122137931,-2.67754109589,-1.26545890411,2.6421176470599996,-3.41633333333,-0.789666666667,2.13860864247,-4.81614973836,-3.40406754658,2.09335043829,-5.50968377162,-2.883017104957,B,O,Cl,1,2.0,3.5,3.0,10.811,15.9994,35.4527,87.0,48.0,79.0,2.7555414661,2.7555414661,25.881375488899998,89.9766383115,89.9766383115,63.263218898000005,-5.41443533333
3,BOBr_0,BOBr,2.9165696969700003,-3.67075830816,-0.754241691843,4.3509375,-4.550090909090001,-0.206909090909,2.7147199527,-6.385478260859999,-3.468961644543,2.71161799952,-7.26170890861,-2.918527090429,B,O,Br,0,2.0,3.5,2.8,10.811,15.9994,79.504,87.0,48.0,94.0,3.56259773791,3.9746480524300005,19.532726301300002,89.5650068106,89.8471184584,72.8151251961,-5.90981633333
4,BOBr_1,BOBr,0.0,1.20215806,1.20215806,0.0,1.39551602,1.39551602,3.93496162291,-2.73280356291,-2.73280356291,3.91390790311,-2.51839188311,-2.51839188311,B,O,Br,1,2.0,3.5,2.8,10.811,15.9994,79.504,87.0,48.0,94.0,3.46900680311,3.46900680311,10.7232822478,89.1483497209,89.1483497209,44.425732652,-5.274685
5,BOI_1,BOI,0.0,1.75898551,1.75898551,0.0,1.86101209,1.86101209,4.88647402505,-3.12748851505,-3.12748851505,4.87870346059,-3.0176913705899997,-3.0176913705899997,B,O,I,1,2.0,3.5,2.5,10.811,15.9994,126.90447,87.0,48.0,115.0,3.5861504259300006,3.5861504259300006,11.6197986351,87.5348430795,87.5348430795,45.3571742896,-4.75262833333
6,BSF_0,BSF,4.109067599069999,-4.45151162791,-0.342488372093,5.44840540541,-5.41002631579,0.0310263157895,3.30818052674,-7.759692154650001,-3.650668898833,3.32612489353,-8.736151209319999,-3.2950985777404997,B,S,F,0,2.0,2.5,4.0,10.811,32.066,18.9984,87.0,88.0,42.0,3.10675279107,4.54675103118,16.421343003,89.51745069799999,89.69748307360001,89.98320375709999,-5.671401
7,BSCl_0,BSCl,2.89318226601,-4.1430737100699995,-1.2499262899299999,4.23157894737,-5.04607692308,-0.819923076923,2.45818827978,-6.601261989849999,-3.7081145697099998,2.46588505612,-7.5119619792000005,-3.285808133043,B,S,Cl,0,2.0,2.5,3.0,10.811,32.066,35.4527,87.0,88.0,79.0,3.18123220194,4.66452889819,26.924414806999998,89.5727022055,89.99996355190001,89.9988728038,-4.84783383333
8,BSCl_1,BSCl,2.66568047337,-2.57381710914,0.09181710914449999,3.852625,-3.36187878788,0.483878787879,3.46756556779,-6.0413826769300005,-3.3757484586455,3.48675302123,-6.84863180911,-3.002874233351,B,S,Cl,1,2.0,2.5,3.0,10.811,32.066,35.4527,87.0,88.0,79.0,3.17671409689,3.17671409689,15.9408905296,89.97509307610001,89.97509307610001,60.0118841922,-4.78976633333
9,BSBr_0,BSBr,1.56983111111,-3.10888495575,-1.5391150442500001,2.7486,-3.9728846153800004,-1.2321153846200001,2.38314583032,-5.49203078607,-3.92226087457,2.39155980677,-6.364444422150001,-3.6236751913900003,B,S,Br,0,2.0,2.5,2.8,10.811,32.066,79.504,87.0,88.0,94.0,3.25108342394,4.665667049750001,27.8702176996,89.6065125065,89.9950659657,89.99754581450001,-4.54050833333
