,Phase,Compound,Band gap (eV),VBM (eV),CBM (eV),HSE-gap (eV),HSE-VBM (eV),HSE-CBM (eV),a1 (A),a2 (A),a3 (A),alpha,beta,gamma,Cohesive energy (eV/atom),Vacuum level (eV),VBM Absolute (eV),CBM Absolute (eV),HSE vacuum level (eV),HSE-VBM Absolute (eV),HSE-CBM Absolute (eV),Phase index
0,GePCl_0,GePCl,2.20791176471,-4.71443695015,-2.50656304985,3.07336150235,-5.32316393443,-2.2498360655700003,3.7128918465199994,5.50339425194,29.8690967138,89.52500251030001,89.99160358479999,89.999242601,-4.27184066667,2.03710066319,-6.75153761334,-4.54366371304,2.0465016329,-7.36966556733,-4.29633769847,0
1,GePCl_1,GePCl,1.9722400000000002,-3.8470942029,-1.8749057971,2.8094792243799995,-4.41971823204,-1.61028176796,3.70779010862,3.70779010862,19.036421879200002,89.96598577530001,89.96598577530001,60.031263663000004,-4.253680999999999,2.7991014792,-6.6461956821,-4.6740072763,2.81339001007,-7.23310824211,-4.42367177803,1
2,SiNF_0,SiNF,5.12444761905,-5.70770532319,-0.583294676806,6.717461538459999,-6.8337136,-0.1162864,2.91684047245,4.79847968148,21.687704511,89.4975777498,89.8971171974,89.99423050899999,-7.140858000000001,2.60003801861,-8.3077433418,-3.183332695416,2.61380265998,-9.44751625998,-2.73008905998,0
3,SiNF_1,SiNF,5.09082135524,-5.98738934426,-0.896610655738,6.78118353345,-7.195571917810001,-0.414428082192,2.91540877138,2.91540877138,19.7976791172,89.9707026159,89.9707026159,59.960939869300006,-7.028783666669999,3.20670973372,-9.19409907798,-4.103320389458,3.27458630447,-10.47015822228,-3.689014386662,1
4,SiNCl_0,SiNCl,3.40433484163,-3.9536501128699992,-0.5493498871329999,4.81386115993,-4.89741578947,-0.08358421052630001,3.01566223291,4.6841850795,25.824725529600002,89.7860111693,89.9964165786,89.9993688083,-6.267459166669999,2.65422814915,-6.60787826202,-3.203578036283,2.65607576094,-7.5534915504099995,-2.7396599714663,0
5,SiNCl_1,SiNCl,2.29103370787,-1.74248507463,0.548485074627,3.64751530612,-2.61823409669,1.02923409669,3.01187607353,3.01187607353,15.721977246400002,89.97858994100001,89.97858994100001,60.0020640304,-5.998939666669999,3.90470702586,-5.64719210049,-3.356221951233,3.91221975125,-6.5304538479400005,-2.8829856545599997,1
6,SiNBr_0,SiNBr,1.50505050505,-2.44148743719,-0.936512562814,2.70554769231,-3.23424846626,-0.528751533742,3.09233988344,4.57512017443,26.6973424025,89.4657227124,89.9964233265,89.9981119035,-5.933041833330001,2.60721988598,-5.04870732317,-3.543732448794,2.60922681647,-5.84347528273,-3.1379783502120002,0
7,SiNBr_1,SiNBr,0.293294117647,-0.23091428571400002,0.06191428571430001,1.43392405063,-0.8969056603769999,0.5369056603769999,3.08820990693,3.08820990693,16.134262056,89.97736709790001,89.97736709790001,60.0090212408,-5.53650966667,3.67390439583,-3.904818681544,-3.6119901101157,3.67946498782,-4.576370648197,-3.142559327443,1
8,SiNI_0,SiNI,0.0,-0.30649511,-0.30649511,0.0,-0.63856088,-0.63856088,3.25492534769,4.5822647535000005,25.5589947983,89.77373767809999,89.9811034064,89.9994639176,-5.5266688333300005,3.25248305829,-3.5589781682900004,-3.5589781682900004,3.26586714743,-3.90442802743,-3.90442802743,0
9,SiNI_1,SiNI,0.0,0.88320068,0.88320068,0.0,0.93272295,0.93272295,3.1889398647900005,3.1889398647900005,16.4560997469,89.47085003469999,89.47085003469999,61.5217802608,-4.98031733333,4.36663457975,-3.4834338997500005,-3.4834338997500005,4.31568032082,-3.3829573708200003,-3.3829573708200003,1
10,SiPF_0,SiPF,2.5711063829799996,-4.92802120141,-2.35697879859,3.43396491228,-5.570953352769999,-2.13704664723,3.5461951047699998,5.12938356727,26.4793667971,89.4850925901,89.97798918950001,89.9940609465,-5.540754666669999,2.1613381703,-7.08935937171,-4.51831696889,2.17507724861,-7.746030601379999,-4.31212389584,0
11,SiPF_1,SiPF,2.55543295019,-5.11467938931,-2.55932061069,3.4443271027999995,-5.74663043478,-2.3023695652200002,3.5365363272099994,3.5365363271,24.217221392600003,89.9616311659,89.96163116870001,60.0291858278,-5.542134333330001,2.39300975036,-7.50768913967,-4.9523303610500005,2.44178056003,-8.18841099481,-4.74415012525,1
12,SiPCl_0,SiPCl,2.46625945946,-4.43561185984,-1.9693881401599997,3.3486228070200004,-5.07529540481,-1.7267045951900002,3.5852738384500005,5.31255348516,29.802776398200002,89.5678241598,89.9979030072,89.99543296510001,-4.7946381666699995,2.20816193439,-6.64377379423,-4.17755007455,2.2156869971,-7.29098240191,-3.9423915922900004,0
13,SiPCl_1,SiPCl,2.37058823529,-3.3732716049400002,-1.0027283950599999,3.2439014778299997,-3.96093120393,-0.7170687960690001,3.5698843451199997,3.5698843451199997,18.1836862423,89.96623828690001,89.96623828690001,60.0198978045,-4.792811,3.08932221977,-6.46259382471,-4.09205061483,3.09974902543,-7.06068022936,-3.816817821499,1
14,SiPBr_0,SiPBr,2.10483435583,-4.09639755352,-1.99160244648,3.0170655737700005,-4.78701635514,-1.7699836448599997,3.62364266562,5.3377027012000005,30.8781564477,89.614982342,89.9996233643,89.99422268469999,-4.55021833333,2.13452373108,-6.2309212846,-4.12612617756,2.14290596119,-6.92992231633,-3.9128896060499994,0
15,SiPBr_1,SiPBr,1.95813818182,-3.0220434782599996,-1.06395652174,2.89929973475,-3.6996296296300004,-0.80037037037,3.61105766625,3.61105766625,18.8061185877,89.9686742901,89.9686742901,60.0188382641,-4.52530333333,3.03443102758,-6.05647450584,-4.09838754932,3.03587447977,-6.735504109400001,-3.83624485014,1
16,SiPI_0,SiPI,0.9556543209880001,-2.6917914110400005,-1.73620858896,1.7938129496400002,-3.30738351254,-1.51361648746,3.71841848149,5.29979543619,31.919741144899998,89.682620881,89.99940082200001,89.9976224937,-4.28503733333,2.4311162176,-5.12290762864,-4.16732480656,2.43585938394,-5.74324289648,-3.9494758714,0
17,SiPI_1,SiPI,0.631895833333,-1.3433814433000002,-0.711618556701,1.43594117647,-1.90793658537,-0.472063414634,3.70549787883,3.70549787883,19.3395816264,89.9723952491,89.9723952491,60.0182239243,-4.197439,3.48464519898,-4.82802664228,-4.1962637556810005,3.48757489727,-5.39551148264,-3.959638311904,1
18,SiAsF_0,SiAsF,2.255904,-4.21491633466,-1.9590836653400001,3.05577850163,-4.80185714286,-1.7461428571400002,3.7127498902099996,5.25189594179,24.7719206558,89.7616308785,89.9044549896,89.97935044639999,-5.23236466667,2.12596485551,-6.34088119017,-4.08504852085,2.13965503238,-6.94151217524,-3.88579788952,0
19,SiAsF_1,SiAsF,2.23216017316,-4.2755387931,-2.0434612069,3.0201197183099997,-4.86352280702,-1.8434771929799998,3.7060585804300006,3.7060585804300006,20.0054660536,89.7527944392,89.7527944392,59.9068815779,-5.22248266667,2.562015621,-6.8375544140999995,-4.6054768279000005,2.59525269333,-7.45877550035,-4.43872988631,1
